"","imID","klass","H3label","H2label","H1label","H3class","H2class","H1class","label","x","y","width","height","image"
"020bfb95-d264-4d1a-a11f-17bb29a6c3d1","020bfb95-d264-4d1a-a11f-17bb29a6c3d1",876,"Perching Birds","Wood-Warblers","Palm Warbler",22,207,598,"Palm Warbler",95,68,464,620,"0876/020bfb95d2644d1aa11f17bb29a6c3d1.jpg"
"02f50df0-eb8c-4e17-836a-c89ddb1c04e1","02f50df0-eb8c-4e17-836a-c89ddb1c04e1",883,"Perching Birds","Wood-Warblers","Black-throated Green Warbler",22,207,732,"Black-throated Green Warbler",53,117,627,497,"0883/02f50df0eb8c4e17836ac89ddb1c04e1.jpg"
"02f5e6b9-52b7-448c-9708-5b460d0c9a23","02f5e6b9-52b7-448c-9708-5b460d0c9a23",866,"Perching Birds","Wood-Warblers","Tennessee Warbler",22,207,283,"Tennessee Warbler",351,122,400,520,"0866/02f5e6b952b7448c97085b460d0c9a23.jpg"
"03774431-7fcc-4caf-99d3-456c980c6cf7","03774431-7fcc-4caf-99d3-456c980c6cf7",759,"Perching Birds","Wood-Warblers","Bay-breasted Warbler",22,207,443,"Bay-breasted Warbler (Breeding male)",226,117,354,393,"0759/037744317fcc4caf99d3456c980c6cf7.jpg"
"03c3c331-738b-4446-af92-3d7386b08c2e","03c3c331-738b-4446-af92-3d7386b08c2e",875,"Perching Birds","Wood-Warblers","Yellow Warbler",22,207,573,"Yellow Warbler",175,210,403,757,"0875/03c3c331738b4446af923d7386b08c2e.jpg"
"041b247c-61b6-4ee3-9b03-c81b6920632c","041b247c-61b6-4ee3-9b03-c81b6920632c",968,"Perching Birds","Wood-Warblers","Blackpoll Warbler",22,207,582,"Blackpoll Warbler (Female/juvenile)",414,129,405,389,"0968/041b247c61b64ee39b03c81b6920632c.jpg"
"0424b952-a40e-4e2f-a871-83e4f7a6f563","0424b952-a40e-4e2f-a871-83e4f7a6f563",862,"Perching Birds","Wood-Warblers","Northern Waterthrush",22,207,260,"Northern Waterthrush",133,175,359,387,"0862/0424b952a40e4e2fa87183e4f7a6f563.jpg"
"04655068-a9fc-49d9-b2f4-21e4d42b7903","04655068-a9fc-49d9-b2f4-21e4d42b7903",756,"Perching Birds","Wood-Warblers","Common Yellowthroat",22,207,391,"Common Yellowthroat (Adult Male)",30,105,699,426,"0756/04655068a9fc49d9b2f421e4d42b7903.jpg"
"046c1180-669b-431a-9641-8ad70ffb72f2","046c1180-669b-431a-9641-8ad70ffb72f2",869,"Perching Birds","Wood-Warblers","MacGillivray's Warbler",22,207,305,"MacGillivray's Warbler",389,70,535,563,"0869/046c1180669b431a96418ad70ffb72f2.jpg"
"04fd85d5-3b38-4a23-8b62-b7b81967e757","04fd85d5-3b38-4a23-8b62-b7b81967e757",963,"Perching Birds","Wood-Warblers","Common Yellowthroat",22,207,391,"Common Yellowthroat (Female/immature male)",110,126,601,671,"0963/04fd85d53b384a238b62b7b81967e757.jpg"
"054603f2-b3a1-40e9-9b72-e674220fe393","054603f2-b3a1-40e9-9b72-e674220fe393",874,"Perching Birds","Wood-Warblers","Blackburnian Warbler",22,207,564,"Blackburnian Warbler",376,215,391,425,"0874/054603f2b3a140e99b72e674220fe393.jpg"
"05a31432-7a95-4fb2-ad37-97c676289872","05a31432-7a95-4fb2-ad37-97c676289872",798,"Perching Birds","Wood-Warblers","Yellow-rumped Warbler",22,207,691,"Yellow-rumped Warbler (Winter/juvenile Myrtle)",323,151,458,417,"0798/05a314327a954fb2ad3797c676289872.jpg"
"05af267f-b982-498d-9807-ccd54689f9b4","05af267f-b982-498d-9807-ccd54689f9b4",885,"Perching Birds","Wood-Warblers","Wilson's Warbler",22,207,743,"Wilson's Warbler",150,322,433,399,"0885/05af267fb982498d9807ccd54689f9b4.jpg"
"05b059d5-fab1-4990-a35c-8047c3f54729","05b059d5-fab1-4990-a35c-8047c3f54729",798,"Perching Birds","Wood-Warblers","Yellow-rumped Warbler",22,207,691,"Yellow-rumped Warbler (Winter/juvenile Myrtle)",380,94,477,504,"0798/05b059d5fab14990a35c8047c3f54729.jpg"
"05b105f8-c416-4f69-867d-68a58d9a0944","05b105f8-c416-4f69-867d-68a58d9a0944",963,"Perching Birds","Wood-Warblers","Common Yellowthroat",22,207,391,"Common Yellowthroat (Female/immature male)",388,78,620,622,"0963/05b105f8c4164f69867d68a58d9a0944.jpg"
"05d9bfb9-44a6-4ab4-92fa-d17e5b2b4f33","05d9bfb9-44a6-4ab4-92fa-d17e5b2b4f33",884,"Perching Birds","Wood-Warblers","Canada Warbler",22,207,736,"Canada Warbler",102,101,546,442,"0884/05d9bfb944a64ab492fad17e5b2b4f33.jpg"
"05e346c7-a477-4855-9ae2-84cf0a5ff26d","05e346c7-a477-4855-9ae2-84cf0a5ff26d",965,"Perching Birds","Wood-Warblers","Magnolia Warbler",22,207,430,"Magnolia Warbler (Female/immature male)",231,105,770,532,"0965/05e346c7a47748559ae284cf0a5ff26d.jpg"
"0601feec-d6ee-4603-8848-1b0364e841e7","0601feec-d6ee-4603-8848-1b0364e841e7",963,"Perching Birds","Wood-Warblers","Common Yellowthroat",22,207,391,"Common Yellowthroat (Female/immature male)",262,169,701,417,"0963/0601feecd6ee460388481b0364e841e7.jpg"
"064818ee-13d5-4618-bb24-21c7368ea278","064818ee-13d5-4618-bb24-21c7368ea278",862,"Perching Birds","Wood-Warblers","Northern Waterthrush",22,207,260,"Northern Waterthrush",345,100,657,418,"0862/064818ee13d54618bb2421c7368ea278.jpg"
"0668efad-1c92-425c-9aa9-2bbe833fd777","0668efad-1c92-425c-9aa9-2bbe833fd777",757,"Perching Birds","Wood-Warblers","American Redstart",22,207,412,"American Redstart (Adult Male)",190,104,425,379,"0757/0668efad1c92425c9aa92bbe833fd777.jpg"
"06729b22-521d-4cc8-8dce-073e99017c41","06729b22-521d-4cc8-8dce-073e99017c41",875,"Perching Birds","Wood-Warblers","Yellow Warbler",22,207,573,"Yellow Warbler",361,148,390,481,"0875/06729b22521d4cc88dce073e99017c41.jpg"
"06cae11d-f0bd-434d-b576-7cd3c7580780","06cae11d-f0bd-434d-b576-7cd3c7580780",958,"Perching Birds","Wood-Warblers","Yellow-rumped Warbler",22,207,691,"Yellow-rumped Warbler (Breeding Audubon's)",59,130,530,410,"0958/06cae11df0bd434db5767cd3c7580780.jpg"
"075e0f95-856b-4cbb-acf5-092393aaf04e","075e0f95-856b-4cbb-acf5-092393aaf04e",867,"Perching Birds","Wood-Warblers","Orange-crowned Warbler",22,207,289,"Orange-crowned Warbler",427,60,494,453,"0867/075e0f95856b4cbbacf5092393aaf04e.jpg"
"077f0d1e-4532-4c9d-ba0e-4605095e958e","077f0d1e-4532-4c9d-ba0e-4605095e958e",963,"Perching Birds","Wood-Warblers","Common Yellowthroat",22,207,391,"Common Yellowthroat (Female/immature male)",72,91,446,464,"0963/077f0d1e45324c9dba0e4605095e958e.jpg"
"07be738c-b7d8-4324-8405-6e6ce320b5a9","07be738c-b7d8-4324-8405-6e6ce320b5a9",747,"Perching Birds","Wood-Warblers","Yellow-rumped Warbler",22,207,691,"Yellow-rumped Warbler (Breeding Myrtle)",210,205,394,574,"0747/07be738cb7d8432484056e6ce320b5a9.jpg"
"07c9c966-3c8d-40e7-8128-92b2acbaed5d","07c9c966-3c8d-40e7-8128-92b2acbaed5d",866,"Perching Birds","Wood-Warblers","Tennessee Warbler",22,207,283,"Tennessee Warbler",87,43,577,450,"0866/07c9c9663c8d40e7812892b2acbaed5d.jpg"
"07f8178b-8ce5-42d6-bca0-a0ae0e0e8eb3","07f8178b-8ce5-42d6-bca0-a0ae0e0e8eb3",761,"Perching Birds","Wood-Warblers","Blackpoll Warbler",22,207,582,"Blackpoll Warbler (Breeding male)",215,133,530,482,"0761/07f8178b8ce542d6bca0a0ae0e0e8eb3.jpg"
"0818d686-b4e3-496f-bef6-5728c48dc904","0818d686-b4e3-496f-bef6-5728c48dc904",886,"Perching Birds","Wood-Warblers","Yellow-breasted Chat",22,207,745,"Yellow-breasted Chat",256,176,606,410,"0886/0818d686b4e3496fbef65728c48dc904.jpg"
"0831b10b-fa29-4a3e-a349-34bec1504406","0831b10b-fa29-4a3e-a349-34bec1504406",747,"Perching Birds","Wood-Warblers","Yellow-rumped Warbler",22,207,691,"Yellow-rumped Warbler (Breeding Myrtle)",40,147,663,424,"0747/0831b10bfa294a3ea34934bec1504406.jpg"
"0864f159-c076-4573-83e1-ea134f239717","0864f159-c076-4573-83e1-ea134f239717",760,"Perching Birds","Wood-Warblers","Chestnut-sided Warbler",22,207,577,"Chestnut-sided Warbler (Breeding male)",372,218,556,392,"0760/0864f159c076457383e1ea134f239717.jpg"
"08e16628-c12c-4d79-a30f-6019d17b8a7d","08e16628-c12c-4d79-a30f-6019d17b8a7d",965,"Perching Birds","Wood-Warblers","Magnolia Warbler",22,207,430,"Magnolia Warbler (Female/immature male)",200,174,444,396,"0965/08e16628c12c4d79a30f6019d17b8a7d.jpg"
"095c6e5b-e8a4-41e7-ad93-c2f047fcd8a0","095c6e5b-e8a4-41e7-ad93-c2f047fcd8a0",876,"Perching Birds","Wood-Warblers","Palm Warbler",22,207,598,"Palm Warbler",328,69,402,540,"0876/095c6e5be8a441e7ad93c2f047fcd8a0.jpg"
"099c26eb-59ad-43a2-8318-28ea4fa77ad9","099c26eb-59ad-43a2-8318-28ea4fa77ad9",1009,"Perching Birds","Wood-Warblers","Yellow-rumped Warbler",22,207,691,"Yellow-rumped Warbler (Winter/juvenile Audubon's)",182,221,580,446,"1009/099c26eb59ad43a2831828ea4fa77ad9.jpg"
"09a20852-d01f-42e8-9b86-ef068dc53867","09a20852-d01f-42e8-9b86-ef068dc53867",875,"Perching Birds","Wood-Warblers","Yellow Warbler",22,207,573,"Yellow Warbler",41,57,425,415,"0875/09a20852d01f42e89b86ef068dc53867.jpg"
"09df1d92-3a1d-4248-b022-6b3fe3f8c92c","09df1d92-3a1d-4248-b022-6b3fe3f8c92c",1009,"Perching Birds","Wood-Warblers","Yellow-rumped Warbler",22,207,691,"Yellow-rumped Warbler (Winter/juvenile Audubon's)",12,145,468,587,"1009/09df1d923a1d4248b0226b3fe3f8c92c.jpg"
"09fde3d3-27c5-435e-b68f-5410beb04e99","09fde3d3-27c5-435e-b68f-5410beb04e99",756,"Perching Birds","Wood-Warblers","Common Yellowthroat",22,207,391,"Common Yellowthroat (Adult Male)",361,143,527,363,"0756/09fde3d327c5435eb68f5410beb04e99.jpg"
"0a0eb43e-fa43-4670-8315-806b02c7c04f","0a0eb43e-fa43-4670-8315-806b02c7c04f",759,"Perching Birds","Wood-Warblers","Bay-breasted Warbler",22,207,443,"Bay-breasted Warbler (Breeding male)",123,110,649,424,"0759/0a0eb43efa4346708315806b02c7c04f.jpg"
"0a7646b9-a723-48ee-b636-a95ac8a047c7","0a7646b9-a723-48ee-b636-a95ac8a047c7",968,"Perching Birds","Wood-Warblers","Blackpoll Warbler",22,207,582,"Blackpoll Warbler (Female/juvenile)",378,182,511,395,"0968/0a7646b9a72348eeb636a95ac8a047c7.jpg"
"0a8f72c4-0c73-4d58-be6f-5e4613b87409","0a8f72c4-0c73-4d58-be6f-5e4613b87409",958,"Perching Birds","Wood-Warblers","Yellow-rumped Warbler",22,207,691,"Yellow-rumped Warbler (Breeding Audubon's)",211,137,402,444,"0958/0a8f72c40c734d58be6f5e4613b87409.jpg"
"0ae84fa3-403b-49b9-b62c-fb8685c8a3b8","0ae84fa3-403b-49b9-b62c-fb8685c8a3b8",747,"Perching Birds","Wood-Warblers","Yellow-rumped Warbler",22,207,691,"Yellow-rumped Warbler (Breeding Myrtle)",313,114,710,380,"0747/0ae84fa3403b49b9b62cfb8685c8a3b8.jpg"
"0b4cf8d4-4c8f-4312-a794-f99e01679176","0b4cf8d4-4c8f-4312-a794-f99e01679176",884,"Perching Birds","Wood-Warblers","Canada Warbler",22,207,736,"Canada Warbler",30,144,815,446,"0884/0b4cf8d44c8f4312a794f99e01679176.jpg"
"0ba2eceb-c0b1-4570-a4d5-76a6ffde1ade","0ba2eceb-c0b1-4570-a4d5-76a6ffde1ade",964,"Perching Birds","Wood-Warblers","American Redstart",22,207,412,"American Redstart (Female/juvenile)",122,224,518,471,"0964/0ba2ecebc0b14570a4d576a6ffde1ade.jpg"
"0c1442d7-b064-4e49-bf38-3685f31be964","0c1442d7-b064-4e49-bf38-3685f31be964",1009,"Perching Birds","Wood-Warblers","Yellow-rumped Warbler",22,207,691,"Yellow-rumped Warbler (Winter/juvenile Audubon's)",390,49,534,492,"1009/0c1442d7b0644e49bf383685f31be964.jpg"
"0c4a1e32-f7c7-4de0-bcbb-1c9d3e97a44d","0c4a1e32-f7c7-4de0-bcbb-1c9d3e97a44d",958,"Perching Birds","Wood-Warblers","Yellow-rumped Warbler",22,207,691,"Yellow-rumped Warbler (Breeding Audubon's)",316,314,413,476,"0958/0c4a1e32f7c74de0bcbb1c9d3e97a44d.jpg"
"0c7068da-d0d9-4103-bda1-74ef7a2b32c3","0c7068da-d0d9-4103-bda1-74ef7a2b32c3",881,"Perching Birds","Wood-Warblers","Townsend's Warbler",22,207,721,"Townsend's Warbler",271,105,463,370,"0881/0c7068dad0d94103bda174ef7a2b32c3.jpg"
"0c7f3d86-efda-4809-aac4-256ba01e0536","0c7f3d86-efda-4809-aac4-256ba01e0536",873,"Perching Birds","Wood-Warblers","Northern Parula",22,207,423,"Northern Parula",214,215,680,384,"0873/0c7f3d86efda4809aac4256ba01e0536.jpg"
"0cdcdaca-f91e-4d4a-a6f6-dc90ab676435","0cdcdaca-f91e-4d4a-a6f6-dc90ab676435",885,"Perching Birds","Wood-Warblers","Wilson's Warbler",22,207,743,"Wilson's Warbler",27,181,978,357,"0885/0cdcdacaf91e4d4aa6f6dc90ab676435.jpg"
"0d041d61-e6a9-4776-9817-d3643fd1d4f6","0d041d61-e6a9-4776-9817-d3643fd1d4f6",798,"Perching Birds","Wood-Warblers","Yellow-rumped Warbler",22,207,691,"Yellow-rumped Warbler (Winter/juvenile Myrtle)",309,231,371,612,"0798/0d041d61e6a947769817d3643fd1d4f6.jpg"
"0d4529da-5126-4123-b848-d13668a89789","0d4529da-5126-4123-b848-d13668a89789",964,"Perching Birds","Wood-Warblers","American Redstart",22,207,412,"American Redstart (Female/juvenile)",330,103,479,554,"0964/0d4529da51264123b848d13668a89789.jpg"
"0d9b4403-7f26-46dc-b0b7-2b97b0a91b46","0d9b4403-7f26-46dc-b0b7-2b97b0a91b46",873,"Perching Birds","Wood-Warblers","Northern Parula",22,207,423,"Northern Parula",277,82,524,572,"0873/0d9b44037f2646dcb0b72b97b0a91b46.jpg"
"0dc2f9ec-ca38-486d-89fc-81bdefaad84a","0dc2f9ec-ca38-486d-89fc-81bdefaad84a",968,"Perching Birds","Wood-Warblers","Blackpoll Warbler",22,207,582,"Blackpoll Warbler (Female/juvenile)",282,170,721,443,"0968/0dc2f9ecca38486d89fc81bdefaad84a.jpg"
"0e1ed5c7-0881-4bfd-b12f-6a53500e74f0","0e1ed5c7-0881-4bfd-b12f-6a53500e74f0",883,"Perching Birds","Wood-Warblers","Black-throated Green Warbler",22,207,732,"Black-throated Green Warbler",282,198,567,370,"0883/0e1ed5c708814bfdb12f6a53500e74f0.jpg"
"0f537697-a314-47c3-a8cc-8df23b7e536c","0f537697-a314-47c3-a8cc-8df23b7e536c",864,"Perching Birds","Wood-Warblers","Black-and-white Warbler",22,207,272,"Black-and-white Warbler",119,202,446,411,"0864/0f537697a31447c3a8cc8df23b7e536c.jpg"
"0f5b5349-6022-4955-b326-c4848a3a8a80","0f5b5349-6022-4955-b326-c4848a3a8a80",964,"Perching Birds","Wood-Warblers","American Redstart",22,207,412,"American Redstart (Female/juvenile)",170,202,815,403,"0964/0f5b534960224955b326c4848a3a8a80.jpg"
"0f666f4b-ae00-4ca7-ab27-8debdb185971","0f666f4b-ae00-4ca7-ab27-8debdb185971",747,"Perching Birds","Wood-Warblers","Yellow-rumped Warbler",22,207,691,"Yellow-rumped Warbler (Breeding Myrtle)",376,140,372,382,"0747/0f666f4bae004ca7ab278debdb185971.jpg"
"0f9715c1-b2e4-418e-bf9b-126cc9e70dc6","0f9715c1-b2e4-418e-bf9b-126cc9e70dc6",886,"Perching Birds","Wood-Warblers","Yellow-breasted Chat",22,207,745,"Yellow-breasted Chat",202,129,585,411,"0886/0f9715c1b2e4418ebf9b126cc9e70dc6.jpg"
"0ff2e597-97b9-40fc-bf0b-e5095d70f988","0ff2e597-97b9-40fc-bf0b-e5095d70f988",869,"Perching Birds","Wood-Warblers","MacGillivray's Warbler",22,207,305,"MacGillivray's Warbler",132,108,586,579,"0869/0ff2e59797b940fcbf0be5095d70f988.JPG"
"10030bb1-70b8-4889-a8a5-ab50e145704d","10030bb1-70b8-4889-a8a5-ab50e145704d",757,"Perching Birds","Wood-Warblers","American Redstart",22,207,412,"American Redstart (Adult Male)",279,186,550,459,"0757/10030bb170b84889a8a5ab50e145704d.jpg"
"1008d79d-5939-4cb9-a28e-8a839de2651c","1008d79d-5939-4cb9-a28e-8a839de2651c",869,"Perching Birds","Wood-Warblers","MacGillivray's Warbler",22,207,305,"MacGillivray's Warbler",244,152,394,506,"0869/1008d79d59394cb9a28e8a839de2651c.jpg"
"1016b306-087c-4afc-aa08-fa527b28dc76","1016b306-087c-4afc-aa08-fa527b28dc76",874,"Perching Birds","Wood-Warblers","Blackburnian Warbler",22,207,564,"Blackburnian Warbler",148,256,462,410,"0874/1016b306087c4afcaa08fa527b28dc76.jpg"
"109fc79a-9751-4c3c-b1f2-4a0c7e0b6594","109fc79a-9751-4c3c-b1f2-4a0c7e0b6594",876,"Perching Birds","Wood-Warblers","Palm Warbler",22,207,598,"Palm Warbler",382,169,421,462,"0876/109fc79a97514c3cb1f24a0c7e0b6594.jpg"
"10c0a35b-e20a-4d75-a7c0-959a578d9ebf","10c0a35b-e20a-4d75-a7c0-959a578d9ebf",884,"Perching Birds","Wood-Warblers","Canada Warbler",22,207,736,"Canada Warbler",281,163,585,435,"0884/10c0a35be20a4d75a7c0959a578d9ebf.jpg"
"10fa3aa2-6100-492a-826e-febb6513cf13","10fa3aa2-6100-492a-826e-febb6513cf13",756,"Perching Birds","Wood-Warblers","Common Yellowthroat",22,207,391,"Common Yellowthroat (Adult Male)",54,195,457,370,"0756/10fa3aa26100492a826efebb6513cf13.jpg"
"111aecf1-147c-4227-90e0-9ed3a75e4e16","111aecf1-147c-4227-90e0-9ed3a75e4e16",760,"Perching Birds","Wood-Warblers","Chestnut-sided Warbler",22,207,577,"Chestnut-sided Warbler (Breeding male)",281,161,399,363,"0760/111aecf1147c422790e09ed3a75e4e16.jpg"
"11a138c0-fb9f-4219-a71c-2f2530c4ce02","11a138c0-fb9f-4219-a71c-2f2530c4ce02",885,"Perching Birds","Wood-Warblers","Wilson's Warbler",22,207,743,"Wilson's Warbler",333,183,516,404,"0885/11a138c0fb9f4219a71c2f2530c4ce02.jpg"
"11a1d141-be5e-443c-98c1-a9d4d9e3dec0","11a1d141-be5e-443c-98c1-a9d4d9e3dec0",866,"Perching Birds","Wood-Warblers","Tennessee Warbler",22,207,283,"Tennessee Warbler",32,89,659,357,"0866/11a1d141be5e443c98c1a9d4d9e3dec0.jpg"
"122548fc-b3cc-445b-b7c0-04794df6d11d","122548fc-b3cc-445b-b7c0-04794df6d11d",883,"Perching Birds","Wood-Warblers","Black-throated Green Warbler",22,207,732,"Black-throated Green Warbler",131,150,594,423,"0883/122548fcb3cc445bb7c004794df6d11d.jpg"
"12264664-1860-46df-8c21-162b9817cdda","12264664-1860-46df-8c21-162b9817cdda",867,"Perching Birds","Wood-Warblers","Orange-crowned Warbler",22,207,289,"Orange-crowned Warbler",222,112,779,438,"0867/12264664186046df8c21162b9817cdda.jpg"
"1247f45c-a5ba-44c4-a8fe-136be78f121a","1247f45c-a5ba-44c4-a8fe-136be78f121a",964,"Perching Birds","Wood-Warblers","American Redstart",22,207,412,"American Redstart (Female/juvenile)",173,206,765,434,"0964/1247f45ca5ba44c4a8fe136be78f121a.jpg"
"1278779d-ee41-4244-ab3b-4cb4b515bead","1278779d-ee41-4244-ab3b-4cb4b515bead",860,"Perching Birds","Wood-Warblers","Ovenbird",22,207,251,"Ovenbird",25,88,622,447,"0860/1278779dee414244ab3b4cb4b515bead.jpg"
"12a7e27d-b184-4d0f-92c8-40af50569ed1","12a7e27d-b184-4d0f-92c8-40af50569ed1",968,"Perching Birds","Wood-Warblers","Blackpoll Warbler",22,207,582,"Blackpoll Warbler (Female/juvenile)",158,236,688,388,"0968/12a7e27db1844d0f92c840af50569ed1.jpg"
"135d76ab-2bf3-4dc9-8509-92983dc9893d","135d76ab-2bf3-4dc9-8509-92983dc9893d",760,"Perching Birds","Wood-Warblers","Chestnut-sided Warbler",22,207,577,"Chestnut-sided Warbler (Breeding male)",287,93,550,529,"0760/135d76ab2bf34dc9850992983dc9893d.jpg"
"13db1f36-8c9f-4b28-8426-04eaa9fba737","13db1f36-8c9f-4b28-8426-04eaa9fba737",884,"Perching Birds","Wood-Warblers","Canada Warbler",22,207,736,"Canada Warbler",108,327,475,402,"0884/13db1f368c9f4b28842604eaa9fba737.jpg"
"13e346fb-b486-4496-8272-af4b4ddee9e9","13e346fb-b486-4496-8272-af4b4ddee9e9",868,"Perching Birds","Wood-Warblers","Nashville Warbler",22,207,293,"Nashville Warbler",398,164,390,406,"0868/13e346fbb48644968272af4b4ddee9e9.jpg"
"13e5d907-e5ec-4aae-868d-7b6b13e9ef5f","13e5d907-e5ec-4aae-868d-7b6b13e9ef5f",964,"Perching Birds","Wood-Warblers","American Redstart",22,207,412,"American Redstart (Female/juvenile)",205,250,432,355,"0964/13e5d907e5ec4aae868d7b6b13e9ef5f.JPG"
"1407b85b-a1c6-45b1-9884-3b24203efadb","1407b85b-a1c6-45b1-9884-3b24203efadb",881,"Perching Birds","Wood-Warblers","Townsend's Warbler",22,207,721,"Townsend's Warbler",143,224,497,353,"0881/1407b85ba1c645b198843b24203efadb.jpg"
"14236cf2-6b95-48b8-9368-78af09d2d27f","14236cf2-6b95-48b8-9368-78af09d2d27f",881,"Perching Birds","Wood-Warblers","Townsend's Warbler",22,207,721,"Townsend's Warbler",342,90,442,457,"0881/14236cf26b9548b8936878af09d2d27f.jpg"
"14241f70-655a-45c3-8ad6-94dbe324d1cc","14241f70-655a-45c3-8ad6-94dbe324d1cc",964,"Perching Birds","Wood-Warblers","American Redstart",22,207,412,"American Redstart (Female/juvenile)",111,148,535,548,"0964/14241f70655a45c38ad694dbe324d1cc.jpg"
"142a783e-a468-4b7f-a750-1e107613d5a9","142a783e-a468-4b7f-a750-1e107613d5a9",883,"Perching Birds","Wood-Warblers","Black-throated Green Warbler",22,207,732,"Black-throated Green Warbler",136,180,402,386,"0883/142a783ea4684b7fa7501e107613d5a9.jpg"
"14a3166b-6af4-4451-a1e2-456e02acee5f","14a3166b-6af4-4451-a1e2-456e02acee5f",968,"Perching Birds","Wood-Warblers","Blackpoll Warbler",22,207,582,"Blackpoll Warbler (Female/juvenile)",230,127,436,436,"0968/14a3166b6af44451a1e2456e02acee5f.jpg"
"14c4223b-bf59-45a9-9b8f-c16c8990e8bb","14c4223b-bf59-45a9-9b8f-c16c8990e8bb",1009,"Perching Birds","Wood-Warblers","Yellow-rumped Warbler",22,207,691,"Yellow-rumped Warbler (Winter/juvenile Audubon's)",166,121,485,639,"1009/14c4223bbf5945a99b8fc16c8990e8bb.jpg"
"1537ccd9-0c63-43ba-9f03-388ad01a7dbf","1537ccd9-0c63-43ba-9f03-388ad01a7dbf",873,"Perching Birds","Wood-Warblers","Northern Parula",22,207,423,"Northern Parula",394,118,459,503,"0873/1537ccd90c6343ba9f03388ad01a7dbf.jpg"
"155ab6a2-3eee-4dad-bdcf-661a4ffa05c9","155ab6a2-3eee-4dad-bdcf-661a4ffa05c9",958,"Perching Birds","Wood-Warblers","Yellow-rumped Warbler",22,207,691,"Yellow-rumped Warbler (Breeding Audubon's)",257,225,740,755,"0958/155ab6a23eee4dadbdcf661a4ffa05c9.jpg"
"15b24a61-25be-4356-9eac-5ce95d0cb4a4","15b24a61-25be-4356-9eac-5ce95d0cb4a4",860,"Perching Birds","Wood-Warblers","Ovenbird",22,207,251,"Ovenbird",520,107,476,371,"0860/15b24a6125be43569eac5ce95d0cb4a4.jpg"
"15bbb81e-0aaf-4389-a360-0de5690bc5cf","15bbb81e-0aaf-4389-a360-0de5690bc5cf",747,"Perching Birds","Wood-Warblers","Yellow-rumped Warbler",22,207,691,"Yellow-rumped Warbler (Breeding Myrtle)",92,135,428,440,"0747/15bbb81e0aaf4389a3600de5690bc5cf.jpg"
